Tapinothrix_clintonii	GSE-PSE06-07G	NR_125576.1	refseq
Brasilonema_angustatum	HA4187-MV1	NR_125582.1	refseq
Brasilonema_angustatum	HA4187-MV1	NR_125583.1	refseq
Oxynema_thaianum	CCALA_960	NR_125585.1	refseq
Arthrospira_platensis	PCC_7345	NR_125599.1	refseq
Laspinema_etoshii	KR2008/49	NR_125647.1	refseq
Cylindrospermum_alatosporum	CCALA_988	NR_125682.1	refseq
Cylindrospermum_pellucidum	CCALA_989	NR_125683.1	refseq
Cylindrospermum_moravicum	CCALA_993	NR_125684.1	refseq
Cylindrospermum_moravicum	CCALA_993	NR_125685.1	refseq
Cylindrospermum_licheniforme	CCALA_995	NR_125686.1	refseq
Cylindrospermum_majus	CCALA_998	NR_125687.1	refseq
Cylindrospermum_badium	CCALA_1000	NR_125688.1	refseq
Cylindrospermum_marchicum	CCALA_1001	NR_125689.1	refseq
Cylindrospermum_badium	CCALA_1000	NR_125693.1	refseq
Trichocoleus_desertorum	ATA4-8-CV2	NR_125697.1	refseq
Kastovskya_adunca	ATA6-11-RM4	NR_125700.1	refseq
Arthrospira_platensis	PCC_7345	NR_125711.1	refseq
Spirulina_major	PCC_6313	NR_125712.1	refseq
Prochlorothrix_hollandica	PCC_9006	NR_126312.1	refseq
Cephalothrix_lacustris	CCIBt_3261	NR_137272.1	refseq
Cephalothrix_komarekiana	CCIBt_3277	NR_137273.1	refseq
Neosynechococcus_sphagnicola	sy1	NR_148569.1	refseq
Phyllonema_aviceniicola	CENA341	NR_148663.1	refseq
Foliisarcina_bertiogensis	CENA333	NR_148664.1	refseq
Ancylothrix_rivularis	8PC	NR_149291.1	refseq
Ancylothrix_terrestris	10PC	NR_149292.1	refseq
Potamolinea_aerugineo-caerulea	1PC	NR_151861.1	refseq
Potamolinea_magna	47PC	NR_151862.1	refseq
Aliterella_antarctica	CENA408	NR_151904.1	refseq
Cronbergia_siamensis	SAG_11.82	NR_153750.1	refseq
Kryptousia_microlepis	CENA354	NR_157979.1	refseq
Kryptousia_macronema	CENA338	NR_157980.1	refseq
Aliinostoc_morphoplasticum	NOS	NR_158066.1	refseq
Dulcicalothrix_necridiiformans	V13	NR_164867.1	refseq
Microcystis_aeruginosa	PCC_7806	U03402.1	insd
Oculatella_subterranea	VRUC135/Albertano_1985/1	X84809.1	insd
